word,score
aggression,1.0
cockiness,1.0
infuriate,1.0
violent,1.0
kill,1.0
lethal,1.0
aggressive,1.0
overconfident,1.0
aggression,1.0
provocation,1.0
spite,1.0
territorial,1.0
betray,1.0
outrage,1.0
masculinity,1.0
murderous,1.0
hostility,1.0
agitated,1.0
intimidation,1.0
livid,1.0
snarl,1.0
fearsome,1.0
belittle,1.0
resentment,1.0
feral,1.0
brutality,1.0
confront,1.0
fearful,1.0
predatory,1.0
force,1.0
aggressor,1.0
unfazed,1.0
malice,1.0
retaliation,1.0
intensity,1.0
demeaning,1.0
confrontational,1.0
fear,1.0
savage,1.0
infuriated,1.0
ruthless,1.0
defend,1.0
barbaric,1.0
volatile,1.0
intimidated,1.0
dominate,1.0
outburst,1.0
ferocious,1.0
assertive,1.0
threatened,1.0
endanger,1.0
bravado,1.0
defiance,1.0
menacing,1.0
strong,1.0
undermine,1.0
hostile,1.0
violence,1.0
brutal,1.0
audacity,1.0
threat,1.0
sadistic,1.0
hatred,1.0
unrelenting,1.0
belligerent,1.0
insult,1.0
ruthlessness,1.0
angry,1.0
intimidating,1.0
threatening,1.0
brute,1.0
fight,1.0
overpower,1.0
attack,1.0
quash,1.0
threaten,1.0
ferocity,1.0
suppress,1.0
cruelty,1.0
warn,1.0
maim,1.0
hateful,1.0
harshness,1.0
rage,1.0
intimidate,1.0
dangerous,1.0
irate,1.0
brazen,1.0
temper,1.0
vengeful,1.0
aggressiveness,1.0
anger,1.0
provoke,1.0
contempt,1.0
offend,1.0
harsh,1.0
authoritative,1.0
meanness,1.0
malicious,1.0
harass,1.0
defiant,1.0
angered,1.0
brash,1.0
bloodthirsty,1.0
vicious,1.0
furious,1.0
domineering,1.0
resentful,1.0
intent,1.0
ruthlessly,1.0
fierce,1.0
animosity,1.0
destructive,1.0
wildness,1.0
seething,1.0
deadly,1.0
menace,1.0
incite,1.0
masculine,1.0
alluring,1.0
cockiness,1.0
attractively,1.0
athletic,1.0
cocky,1.0
aggressive,1.0
tattooed,1.0
jock,1.0
arrogance,1.0
masculine,1.0
hormone,1.0
dominate,1.0
males,1.0
overpowering,1.0
dreamy,1.0
brutish,1.0
stereotypical,1.0
guy,1.0
bulky,1.0
scruffy,1.0
authority,1.0
manly,1.0
baritone,1.0
hunky,1.0
lad,1.0
masculinity,1.0
hunk,1.0
appeal,1.0
surfer,1.0
strong,1.0
boy,1.0
testosterone,1.0
domineering,1.0
male,1.0
youthful,1.0
dude,1.0
fella,1.0
distinct,1.0
charisma,1.0
man,1.0
chiseled,1.0
puberty,1.0
mentality,1.0
boys,1.0
shouldered,1.0
handsome,1.0
rugged,1.0
intimidate,1.0
stature,1.0
figure,1.0
intimidating,1.0
muscular,1.0
brawny,1.0
beefy,1.0
attract,1.0
physique,1.0
athletically,1.0
biceps,1.0
attractiveness,1.0
stocky,1.0
hormonal,1.0
burly,1.0
egotistical,1.0
bodied,1.0
rowdy,1.0
healing,1.0
restore,1.0
salve,1.0
replenish,1.0
upkeep,1.0
capable,1.0
explain,1.0
cripple,1.0
better,1.0
treatment,1.0
swelling,1.0
mend,1.0
affected,1.0
remedy,1.0
bandage,1.0
dose,1.0
organ,1.0
stabilize,1.0
anesthetic,1.0
antibiotic,1.0
ailment,1.0
healer,1.0
surgery,1.0
stitch,1.0
tend,1.0
sustain,1.0
herb,1.0
medicine,1.0
